成交单价（元）,成交金额（万元）,经度,纬度,到市中心距离_km,城市编码,区域编码,面积（m²）,室数,厅数,卫数,总房间数,每室面积,总楼层数,当前楼层估算,楼层比例,朝向评分,房龄,建筑年份_数值,小区面积_数值,小区户数_数值,容积率_数值,绿化率_数值,物业费_数值,成交年份,成交月份,成交季度,name,城市,area,address
106140,975,116.38420380629992,39.86874087129047,4.411717994720657,0,5,91.86,2,2,,4,45.93,22,11,0.5,5,15,2010,400000,2208,3.3,30,3.2,2025,5,2,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
106350,958,116.38420380629992,39.86874087129047,4.411717994720657,0,5,90.08,2,2,,4,45.04,17,8.5,0.5,5,15,2010,400000,2208,3.3,30,3.2,2025,4,2,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
100717,618,116.38420380629992,39.86874087129047,4.411717994720657,0,5,61.36,2,1,,3,30.68,22,17.6,0.8,2,15,2010,400000,2208,3.3,30,3.2,2025,3,1,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
113594,676,116.38420380629992,39.86874087129047,4.411717994720657,0,5,59.51,1,1,,2,59.51,21,16.8,0.8,4,15,2010,400000,2208,3.3,30,3.2,2025,3,1,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
92578,590,116.38420380629992,39.86874087129047,4.411717994720657,0,5,63.73,2,1,,3,31.865,18,14.4,0.8,2,15,2010,400000,2208,3.3,30,3.2,2025,2,1,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
92929,573,116.38420380629992,39.86874087129047,4.411717994720657,0,5,61.66,1,1,,2,61.66,22,17.6,0.8,2,15,2010,400000,2208,3.3,30,3.2,2025,1,1,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
100943,910,116.38420380629992,39.86874087129047,4.411717994720657,0,5,90.15,2,2,,4,45.075,19,,,5,15,2010,400000,2208,3.3,30,3.2,2024,12,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
119804,1078,116.38420380629992,39.86874087129047,4.411717994720657,0,5,89.98,2,2,,4,44.99,17,8.5,0.5,,15,2010,400000,2208,3.3,30,3.2,2024,12,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
107209,638,116.38420380629992,39.86874087129047,4.411717994720657,0,5,59.51,1,1,,2,59.51,21,4.2,0.2,5,15,2010,400000,2208,3.3,30,3.2,2024,12,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
90998,560,116.38420380629992,39.86874087129047,4.411717994720657,0,5,61.54,2,1,,3,30.77,22,4.4,0.2,2,15,2010,400000,2208,3.3,30,3.2,2024,12,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
91189,562,116.38420380629992,39.86874087129047,4.411717994720657,0,5,61.63,1,2,,3,61.63,22,11,0.5,2,15,2010,400000,2208,3.3,30,3.2,2024,12,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
105378,968,116.38420380629992,39.86874087129047,4.411717994720657,0,5,91.86,2,1,,3,45.93,22,4.4,0.2,5,15,2010,400000,2208,3.3,30,3.2,2024,11,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
101307,930,116.38420380629992,39.86874087129047,4.411717994720657,0,5,91.8,2,2,,4,45.9,22,4.4,0.2,5,15,2010,400000,2208,3.3,30,3.2,2024,11,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
91973,566,116.38420380629992,39.86874087129047,4.411717994720657,0,5,61.54,2,1,,3,30.77,22,11,0.5,2,15,2010,400000,2208,3.3,30,3.2,2024,11,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
105051,965,116.38420380629992,39.86874087129047,4.411717994720657,0,5,91.86,2,2,,4,45.93,22,4.4,0.2,5,15,2010,400000,2208,3.3,30,3.2,2024,11,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
92623,570,116.38420380629992,39.86874087129047,4.411717994720657,0,5,61.54,2,1,,3,30.77,22,11,0.5,2,15,2010,400000,2208,3.3,30,3.2,2024,10,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
92826,590,116.38420380629992,39.86874087129047,4.411717994720657,0,5,63.56,2,1,,3,31.78,17,13.600000000000001,0.8,2,15,2010,400000,2208,3.3,30,3.2,2024,10,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
83198,513,116.38420380629992,39.86874087129047,4.411717994720657,0,5,61.66,2,1,,3,30.83,22,4.4,0.2,2,15,2010,400000,2208,3.3,30,3.2,2024,10,4,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
117987,1062,116.38420380629992,39.86874087129047,4.411717994720657,0,5,90.01,2,2,,4,45.005,17,8.5,0.5,,15,2010,400000,2208,3.3,30,3.2,2024,9,3,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
84537,521,116.38420380629992,39.86874087129047,4.411717994720657,0,5,61.63,2,1,,3,30.815,22,11,0.5,2,15,2010,400000,2208,3.3,30,3.2,2024,9,3,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
109031,856,116.38420380629992,39.86874087129047,4.411717994720657,0,5,78.51,2,1,,3,39.255,17,8.5,0.5,4,15,2010,400000,2208,3.3,30,3.2,2024,9,3,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
118261,1610,116.38420380629992,39.86874087129047,4.411717994720657,0,5,136.14,3,1,,4,45.379999999999995,17,3.4000000000000004,0.2,5,15,2010,400000,2208,3.3,30,3.2,2024,8,3,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
100143,912,116.38420380629992,39.86874087129047,4.411717994720657,0,5,91.07,2,2,,4,45.535,21,,,5,15,2010,400000,2208,3.3,30,3.2,2024,8,3,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
109902,1010,116.38420380629992,39.86874087129047,4.411717994720657,0,5,91.9,2,2,,4,45.95,22,17.6,0.8,5,15,2010,400000,2208,3.3,30,3.2,2024,7,3,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
110550,1007,116.38420380629992,39.86874087129047,4.411717994720657,0,5,91.09,2,2,,4,45.545,21,4.2,0.2,5,15,2010,400000,2208,3.3,30,3.2,2024,7,3,中海紫御公馆,北京,宣武,宣武-陶然亭-永定门西滨河路
