成交单价（元）,成交金额（万元）,经度,纬度,到市中心距离_km,城市编码,区域编码,面积（m²）,室数,厅数,卫数,总房间数,每室面积,总楼层数,当前楼层估算,楼层比例,朝向评分,房龄,建筑年份_数值,小区面积_数值,小区户数_数值,容积率_数值,绿化率_数值,物业费_数值,成交年份,成交月份,成交季度,name,城市,area,address
7710,110.6,121.0493348214,31.315133929,1042.7687306219846,0,4,143.46,4.0,2.0,,6.0,35.865,11.0,11.0,1.0,4.0,19.0,2006.0,60000.0,950.0,1.6,30.0,1.0,2025,2,1,名湖花苑,天津,上海周边,上海周边-昆山-新开河路21号
7637,110.0,121.0493348214,31.315133929,1042.7687306219846,0,4,144.04,4.0,2.0,,6.0,36.01,7.0,7.0,1.0,4.0,19.0,2006.0,60000.0,950.0,1.6,30.0,1.0,2024,12,4,名湖花苑,天津,上海周边,上海周边-昆山-新开河路21号
8191,117.5,121.0493348214,31.315133929,1042.7687306219846,0,4,143.46,4.0,2.0,,6.0,35.865,11.0,11.0,1.0,4.0,19.0,2006.0,60000.0,950.0,1.6,30.0,1.0,2024,12,4,名湖花苑,天津,上海周边,上海周边-昆山-新开河路21号
20171,177.5,121.095028711,32.0865356374,965.79157837084,0,4,88.0,2.0,1.0,,3.0,44.0,17.0,17.0,1.0,4.0,25.0,2000.0,60000.0,950.0,1.8,30.0,0.6,2025,4,2,天晖苑,天津,上海周边,"上海周边-南通-湘江北路,近古沙路"
23977,345.0,121.095028711,32.0865356374,965.79157837084,0,4,143.89,3.0,2.0,,5.0,47.96333333333333,17.0,17.0,1.0,4.0,25.0,2000.0,60000.0,950.0,1.8,30.0,0.6,2024,12,4,天晖苑,天津,上海周边,"上海周边-南通-湘江北路,近古沙路"
24512,266.0,121.095028711,32.0865356374,965.79157837084,0,4,108.52,3.0,1.0,,4.0,36.17333333333333,25.0,25.0,1.0,4.0,25.0,2000.0,60000.0,950.0,1.8,30.0,0.6,2024,12,4,天晖苑,天津,上海周边,"上海周边-南通-湘江北路,近古沙路"
23978,259.0,121.095028711,32.0865356374,965.79157837084,0,4,108.02,3.0,1.0,,4.0,36.00666666666667,17.0,17.0,1.0,4.0,25.0,2000.0,60000.0,950.0,1.8,30.0,0.6,2024,11,4,天晖苑,天津,上海周边,"上海周边-南通-湘江北路,近古沙路"
25695,370.0,121.095028711,32.0865356374,965.79157837084,0,4,144.0,3.0,2.0,,5.0,48.0,17.0,17.0,1.0,4.0,25.0,2000.0,60000.0,950.0,1.8,30.0,0.6,2024,10,4,天晖苑,天津,上海周边,"上海周边-南通-湘江北路,近古沙路"
22707,222.0,121.095028711,32.0865356374,965.79157837084,0,4,97.77,3.0,1.0,,4.0,32.589999999999996,26.0,26.0,1.0,4.0,25.0,2000.0,60000.0,950.0,1.8,30.0,0.6,2024,10,4,天晖苑,天津,上海周边,"上海周边-南通-湘江北路,近古沙路"
23821,258.0,121.095028711,32.0865356374,965.79157837084,0,4,108.31,3.0,2.0,,5.0,36.10333333333333,17.0,17.0,1.0,4.0,25.0,2000.0,60000.0,950.0,1.8,30.0,0.6,2024,9,3,天晖苑,天津,上海周边,"上海周边-南通-湘江北路,近古沙路"
13558,116.5,114.8607941212,38.0350253886,247.1254636453189,0,312,85.93,2.0,2.0,,4.0,42.965,18.0,18.0,1.0,3.0,5.0,2020.0,60000.0,950.0,2.0,25.0,1.9,2025,4,2,美的云熙府,天津,藁城,藁城-迎宾大道-市府东路210号
12654,146.0,114.8607941212,38.0350253886,247.1254636453189,0,312,115.38,3.0,1.0,,4.0,38.46,17.0,17.0,1.0,3.0,5.0,2020.0,60000.0,950.0,2.0,25.0,1.9,2024,12,4,美的云熙府,天津,藁城,藁城-迎宾大道-市府东路210号
15387,152.0,114.8607941212,38.0350253886,247.1254636453189,0,312,98.79,3.0,2.0,,5.0,32.93,11.0,11.0,1.0,4.0,5.0,2020.0,60000.0,950.0,2.0,25.0,1.9,2024,12,4,美的云熙府,天津,藁城,藁城-迎宾大道-市府东路210号
13677,133.0,114.8607941212,38.0350253886,247.1254636453189,0,312,97.25,3.0,2.0,,5.0,32.416666666666664,18.0,18.0,1.0,3.0,5.0,2020.0,60000.0,950.0,2.0,25.0,1.9,2024,10,4,美的云熙府,天津,藁城,藁城-迎宾大道-市府东路210号
